Id,Date,Close,開市,高,低,成交量,升跌（%）
1826.00 ,2022年9月12日,22423.80 ,"21,836.60","22,438.90","21,581.60",428.39K,2.70%
1825.00 ,2022年9月11日,21834.90 ,"21,650.40","21,836.40","21,363.00",297.12K,0.85%
1824.00 ,2022年9月10日,21650.40 ,"21,363.80","21,790.60","21,139.90",331.12K,1.33%
1823.00 ,2022年9月9日,21365.20 ,"19,318.80","21,545.70","19,294.10",480.37K,10.60%
1822.00 ,2022年9月8日,19317.40 ,"19,281.50","19,444.70","19,034.50",291.43K,0.19%
1821.00 ,2022年9月7日,19281.50 ,"18,786.30","19,445.90","18,548.40",319.10K,2.64%
1820.00 ,2022年9月6日,18786.40 ,"19,793.40","20,169.30","18,723.30",402.43K,-5.09%
1819.00 ,2022年9月5日,19793.10 ,"19,999.90","20,042.90","19,650.70",238.71K,-1.03%
1818.00 ,2022年9月4日,19999.90 ,"19,832.20","20,017.80","19,594.70",158.27K,0.85%
1817.00 ,2022年9月3日,19831.40 ,"19,952.80","20,043.80","19,660.70",157.85K,-0.61%
1816.00 ,2022年9月2日,19952.70 ,"20,131.60","20,428.20","19,764.70",272.22K,-0.86%
1815.00 ,2022年9月1日,20126.10 ,"20,049.90","20,202.70","19,584.40",275.08K,0.41%
1814.00 ,2022年8月31日,20043.90 ,"19,793.40","20,469.10","19,793.40",318.17K,1.27%
1813.00 ,2022年8月30日,19792.60 ,"20,295.60","20,558.20","19,559.70",308.41K,-2.48%
1812.00 ,2022年8月29日,20295.80 ,"19,551.30","20,394.50","19,551.20",248.04K,3.81%
1811.00 ,2022年8月28日,19550.20 ,"20,034.20","20,150.80","19,542.90",159.60K,-2.41%
1810.00 ,2022年8月27日,20033.90 ,"20,249.90","20,343.60","19,849.80",187.34K,-1.07%
1809.00 ,2022年8月26日,20249.90 ,"21,564.20","21,815.30","20,122.40",322.16K,-6.10%
1808.00 ,2022年8月25日,21565.40 ,"21,365.40","21,801.20","21,324.80",190.15K,0.94%
1807.00 ,2022年8月24日,21365.20 ,"21,516.20","21,832.30","21,171.10",202.40K,-0.71%
1806.00 ,2022年8月23日,21517.20 ,"21,416.50","21,661.00","20,919.60",228.65K,0.47%
1805.00 ,2022年8月22日,21416.30 ,"21,516.80","21,517.40","20,912.10",251.83K,-0.47%
1804.00 ,2022年8月21日,21517.20 ,"21,138.90","21,692.40","21,077.40",177.52K,1.79%
1803.00 ,2022年8月20日,21138.90 ,"20,830.70","21,357.40","20,784.80",206.94K,1.48%
1802.00 ,2022年8月19日,20831.30 ,"23,201.60","23,202.30","20,807.80",339.47K,-10.22%
1801.00 ,2022年8月18日,23203.60 ,"23,337.70","23,578.00","23,131.30",160.97K,-0.58%
1800.00 ,2022年8月17日,23338.00 ,"23,855.80","24,423.50","23,191.60",239.53K,-2.17%
1799.00 ,2022年8月16日,23856.80 ,"24,102.60","24,240.80","23,693.80",201.70K,-1.02%
1798.00 ,2022年8月15日,24101.70 ,"24,303.30","25,205.70","23,784.50",279.28K,-0.83%
1797.00 ,2022年8月14日,24302.80 ,"24,442.10","24,997.30","24,172.20",177.25K,-0.57%
1796.00 ,2022年8月13日,24442.50 ,"24,398.90","24,882.90","24,318.70",170.59K,0.18%
1795.00 ,2022年8月12日,24398.70 ,"23,935.30","24,440.80","23,616.40",194.96K,1.94%
1794.00 ,2022年8月11日,23935.30 ,"23,963.30","24,873.50","23,864.00",285.36K,-0.12%
1793.00 ,2022年8月10日,23962.90 ,"23,150.30","24,209.90","22,714.70",243.61K,3.53%
1792.00 ,2022年8月9日,23146.70 ,"23,818.10","23,912.00","22,886.50",169.62K,-2.81%
1791.00 ,2022年8月8日,23816.30 ,"23,175.30","24,234.10","23,160.60",197.94K,2.77%
1790.00 ,2022年8月7日,23175.30 ,"22,944.20","23,387.70","22,852.30",99.36K,1.01%
1789.00 ,2022年8月6日,22944.20 ,"23,308.20","23,344.40","22,923.60",94.44K,-1.56%
1788.00 ,2022年8月5日,23308.20 ,"22,613.30","23,447.60","22,593.50",208.90K,3.08%
1787.00 ,2022年8月4日,22612.10 ,"22,822.20","23,214.50","22,438.70",181.19K,-0.91%
1786.00 ,2022年8月3日,22820.80 ,"22,988.70","23,623.70","22,698.60",174.66K,-0.73%
1785.00 ,2022年8月2日,22988.60 ,"23,271.10","23,423.30","22,670.80",177.30K,-1.21%
1784.00 ,2022年8月1日,23271.20 ,"23,303.40","23,484.40","22,863.80",162.33K,-0.14%
1783.00 ,2022年7月31日,23303.40 ,"23,634.20","24,179.30","23,236.20",138.84K,-1.40%
1782.00 ,2022年7月30日,23634.20 ,"23,774.20","24,605.30","23,521.80",168.72K,-0.59%
1781.00 ,2022年7月29日,23774.30 ,"23,850.20","24,340.00","23,451.40",221.66K,-0.32%
